Package name,Reviewer name,Review text,raiting
com.github.mofosyne.instantreadme,Thomas D,repeatedly saving change reopening i got orlginal text ui unintuitive,2
com.github.mofosyne.instantreadme,CSBS_19_KATHAKALI NASKAR,i like app it nice syntax highlighting support language thanks providing u app,5
com.github.mofosyne.instantreadme,Vince Cocuzzoli,very good text editor highlighted number red bit hard eye,4
com.github.mofosyne.instantreadme,Connor Wines,i used code year found view easy use love hard code editor used,5
com.github.mofosyne.instantreadme,Dean Black,poorly made highlighting keep changing slow laggy,1
com.github.mofosyne.instantreadme,Raseruuu,i like sublime but think that default button include tab so dont press space four time python is actual setting available though app,4
com.github.mofosyne.instantreadme,Ajay Kumar Sah,i also like sublime text i use desk top i trying use phone i found lot essue i make one page also run working doesnt susetion show colour also good looking please improve desktop,5
com.github.mofosyne.instantreadme,Siddhant Sengar,sorry comment aap feature change become usefull language added i wont say plz increase size lenght writing page thank you,5
com.github.mofosyne.instantreadme,George Otegbeye,its good application developer,5
com.github.mofosyne.instantreadme,David Pinkerton,cant access sd card,1
com.github.mofosyne.instantreadme,Dinesh Dhayarkar,poor mobile phone,1
com.github.mofosyne.instantreadme,Bode Mattews,cool text app,5
com.github.mofosyne.instantreadme,BHVY SOLKI,such brilliant amazing app i dont laptop helped lot need laptop i recommend download app nice,5
com.github.mofosyne.instantreadme,Kevin McCready,didnt work old phone it shouldnt allowed download wasnt going work,1
com.github.mofosyne.instantreadme,Bab Roosss Games,install app didnt even get past first screen without crashing,1
com.github.mofosyne.instantreadme,Ahmad Saqqa,unskippable fifa ad text editor thats instant uninstall,1
com.github.mofosyne.instantreadme,William Goffman,cant work lot ad including fullscreen,1
com.github.mofosyne.instantreadme,charity jahenda,the developer didnt know,3
com.github.mofosyne.instantreadme,,great app but there glitch i forced move red line even im using finding,3
com.github.mofosyne.instantreadme,Thompson Youpele,i really love app thinking get system create html webpage help app strugle working fine,4
com.github.mofosyne.instantreadme,Than Soe,biggest drawback reset change working folder setting,2
com.github.mofosyne.instantreadme,Scott Haddox,got thing change virtual reality cam instruction where instruction showing this dangerous instruction dont send instruction include application with computational equipment hell calculator still come instruction fix please sincerely scott,1
com.github.mofosyne.instantreadme,owl owlie,almost pc version,5
com.github.mofosyne.instantreadme,Nobo dy,highly recomend app like fir part u make see outcome code type please,5
com.github.mofosyne.instantreadme,_Sh4D0W_,op easy use,5
com.github.mofosyne.instantreadme,Gana Emad,exitor good oy bad thing cant run program saved,4
com.github.mofosyne.instantreadme,Desmond Chima,great app i must confess but option open tow file,3
com.github.mofosyne.instantreadme,Josue Segui,doesnt remember name file editing make change file try save,2
com.github.mofosyne.instantreadme,Adebayo Adedayo,nice app easy use function like one computer was suggested friend,5
com.github.mofosyne.instantreadme,Jacky West,the app duplicate text save without able remove duplicated text,2
com.github.mofosyne.instantreadme,hamza El Marjani,a stupid app lost time create big script app crached reopen lose text made nervous,1
com.github.mofosyne.instantreadme,joshua ongom,alas expectation turn sublimes wherever writes code shite browser fails show comefile cant read permission granted,1
com.github.mofosyne.instantreadme,Pro gamer,text editor easy use simple ui,5
com.github.mofosyne.instantreadme,Joe Joe,ad ad ad cant run code terrible code editor,1
com.github.mofosyne.instantreadme,Manoj Yadwad,it showing doctype error not able retrieve saved file,1
com.github.mofosyne.instantreadme,emi E.,please consider including undo redo functionalitiesthanks its great app anyway,4
com.github.mofosyne.instantreadme,Ganesh Chandra,good light weight downloaded used 30 mtswill review seven day,4
com.github.mofosyne.instantreadme,Tanushree Roy,far better text editor app softwareboth good,5
com.github.mofosyne.instantreadme,Rahul Kumar,i give one star app i face parse package error run button code,1
com.github.mofosyne.instantreadme,robert hedblad,first thing i get load commercial random game no thanks,1
com.github.mofosyne.instantreadme,Hasan Ba'abbad,love editor except deal limited number line name popular coding editor developer expect application process thousand line,4
com.github.mofosyne.instantreadme,Martin Diaz,its text editor free just publicized,5
com.github.mofosyne.instantreadme,Chris Rapson,error trying save edit existing file sd card,2
com.github.mofosyne.instantreadme,David Walton,no way open existing txt file sd card,1
com.github.mofosyne.instantreadme,Shaun du Plessis,add plugins something make customisable like sublime,3
com.github.mofosyne.instantreadme,Vikram Dhodhi,nothing like actuall bracket dont even allow save dovice code sucks,1
com.github.mofosyne.instantreadme,Jubin Soni,always bigtime sublime fanthank making available android,5
com.github.mofosyne.instantreadme,Moriom Begum,the apps likely it use easy i love,5
com.github.mofosyne.instantreadme,Carlos Arteaga,too many ad way,1
com.github.mofosyne.instantreadme,Jim Loepker,i didnt get work formula,1
com.github.mofosyne.instantreadme,Yash Malik,add extra line htlm code everytime open app,2
com.github.mofosyne.instantreadme,Ashwin Bharadwaj,search functionality doesnt work properly,1
com.github.mofosyne.instantreadme,Adelekan Abraham,good appand easy usei rate 5stars,4
com.github.mofosyne.instantreadme,John Mensah,the best coding app world everyone must try,5
com.github.mofosyne.instantreadme,Thomas Kuthnik,many ad cant even read code,1
com.github.mofosyne.instantreadme,Mujakkir Bin Fattah,great app its good everything fine i looking,5
com.github.mofosyne.instantreadme,Roselyn Awo,not like sulime text3 functional,4
com.github.mofosyne.instantreadme,Andrii Sivak,sublime text notepad,2
com.github.mofosyne.instantreadme,Dorothy Nalintya,very good coding free time,5
com.github.mofosyne.instantreadme,aisien osasumwen,its okay perfect like computer version,3
com.github.mofosyne.instantreadme,eu,can replace icon original logo and make app name shorter,5
com.github.mofosyne.instantreadme,Ibrahim Bello,okay alright you need app for drastic editing youll get download and stay cool calm heeeeeeehe,5
com.github.mofosyne.instantreadme,Christopher Workman,external sd card support,1
com.github.mofosyne.instantreadme,Nzeako Chijindu,good app make coding android easy,4
com.github.mofosyne.instantreadme,Anna Araslanova,easy use good design,5
com.github.mofosyne.instantreadme,G Acs,cant open file cloud,2
com.github.mofosyne.instantreadme,Gabriel Delight,good app flexible stress free,5
com.github.mofosyne.instantreadme,Taus Hasan,app opening,2
com.github.mofosyne.instantreadme,AL TR,fake official lot bug,1
com.github.mofosyne.instantreadme,Ragini yadav,i thought work like sublime text three poor v code,2
com.github.mofosyne.instantreadme,Simple Green,freezes phone another malware app,1
com.github.mofosyne.instantreadme,mixerboi250,hhard use suggests code one windowsos,3
com.github.mofosyne.instantreadme,Chandan Kumar,worse app dont install waste time data,1
com.github.mofosyne.instantreadme,Carson Morton,ad popped soon i made new note uninstalled,1
com.github.mofosyne.instantreadme,Amirr Am,if auto complete best,2
com.github.mofosyne.instantreadme,Michel Turrian,good application quickly anywhere work,4
com.github.mofosyne.instantreadme,pierre martin,just best editor android,5
com.github.mofosyne.instantreadme,Luca Poulariani,one best editor around,5
com.github.mofosyne.instantreadme,Kevin -,cant open txt file attempt invoke virtual method void ctb null object reference,1
com.github.mofosyne.instantreadme,Rajprakash Vishwakarma,this best ever mobile editor developer,5
com.github.mofosyne.instantreadme,ZHKITZ DOEZ ZTUFF,amazing highly suggest people coding javascript,5
com.github.mofosyne.instantreadme,D.P.S ,very good add emmet pooject,5
com.github.mofosyne.instantreadme,BE_A_37_Kaustubh Saple,needs big fix except great app,4
com.github.mofosyne.instantreadme,Bhabesh Paik,very helpful practice purpose,5
com.github.mofosyne.instantreadme,Ayan Kundu,outstanding text editor forever,5
com.github.mofosyne.instantreadme,Igba Chika,its viewing result code web pasting actual html code,1
com.github.mofosyne.instantreadme,Jaman Shah,good appthe icon changed,5
com.github.mofosyne.instantreadme,James Sandoval,gives full access internet analytics team steal intellectual data also give write access dir,5
com.github.mofosyne.instantreadme,Lgd mr Lgd mr,this app good editing,5
com.github.mofosyne.instantreadme,Mikus Lorencs,very limited compared pc version,2
com.github.mofosyne.instantreadme,Raja Kumar Ray,awesome application thak u much make,5
com.github.mofosyne.instantreadme,John Joel.O,shows parse error wen u try view web,1
com.github.mofosyne.instantreadme,Nitesh Gupta,not working like windos verson auto complte tag,1
com.github.mofosyne.instantreadme,Abur Tina,this app okay really easy use,4
com.github.mofosyne.instantreadme,Neena Gupta,when i typed clicked view web showed file deleted web pls check,1
com.github.mofosyne.instantreadme,Shivansh Gupta,good app i easy able make code mobile,4
com.github.mofosyne.instantreadme,PROFITA,it bad i phone support app,1
com.github.mofosyne.instantreadme,Adarsh Gupta,too good android,5
com.github.mofosyne.instantreadme,Wave Treader Media Productions,simple yet powerful,5
com.github.mofosyne.instantreadme,ABHINAV DHARMESH,best text editor,5
com.github.mofosyne.instantreadme,ARM BACK-1988,it much help work,5
com.github.mofosyne.instantreadme,Yash Kinra,i couldnt find run button,4
com.github.mofosyne.instantreadme,Ko Htet Wai Yan Oo,very useful thank you i love this app,5
com.github.mofosyne.instantreadme,tmitchable,i lived convenience edit coding,5
com.github.mofosyne.instantreadme,Aldrin Nebres,its hard dont understand,5
com.github.mofosyne.instantreadme,Amar Mani,this app ia helpful,5
com.github.mofosyne.instantreadme,WAQAS MAHBOOB,very nice app coding,5
com.github.mofosyne.instantreadme,Argha Devnath,i cant open browser,1
com.github.mofosyne.instantreadme,Adam Yuunus,i love app good easy use,5
com.github.mofosyne.instantreadme,NIWAGABA ASHIM,it work perfectly,5
com.github.mofosyne.instantreadme,Athena Burnea,it stop i try edit code,1
com.github.mofosyne.instantreadme,Edwin Mvaluwa,superbone best editor world,5
com.github.mofosyne.instantreadme,GRIFFINS M,its bad app good job,3
com.github.mofosyne.instantreadme,dinho world,cool simple use,4
com.github.mofosyne.instantreadme,Heartflowers Panaroma,very nice worth,5
com.github.mofosyne.instantreadme,Emilio Tor,avoid help found innandroid version cryptic info,1
com.github.mofosyne.instantreadme,chukwuanugo onuchukwu,sweet easy,5
com.github.mofosyne.instantreadme,arion,cant even select asd card,1
com.github.mofosyne.instantreadme,Alam Gaming,pls improve app its soo disturbing,1
com.github.mofosyne.instantreadme,ESWAR ELANGOVAN,not working guy no comment simply waste,1
com.github.mofosyne.instantreadme,Every Every with Bella,i cant view web i dont know there anything rectify,1
com.github.mofosyne.instantreadme,Michael Moreland,without sublime im even two bit programmer i,5
com.github.mofosyne.instantreadme,Toito Matto,hi everyone look app amazes,5
com.github.mofosyne.instantreadme,Sarthak Sharma,nice app code mobile best choise,5
com.github.mofosyne.instantreadme,Emna kammoun,this application bad helping,1
